,year,count,mean,std,min,25%,50%,75%,max
depth,1975.0,3246.0,163.03910344787076,179.00002183797022,-12.75,34.7,116.15,248.0,4634.0
depth,1976.0,3322.0,150.7287748435089,161.1594294334086,-13.08,32.6125,93.125,219.0,1780.0
depth,1977.0,4159.0,152.79884251286106,152.91820624884124,-11.51,37.1,100.32,234.95,1966.0
depth,1978.0,4418.0,151.52542266747105,157.80761083223186,-12.37,30.0,96.0,225.275,1236.0
depth,1979.0,4494.0,150.48430726344262,156.5614969988142,-47.12,30.0,97.25,227.64999999999998,1960.3
depth,1980.0,4192.0,158.24304495343736,159.10987524648917,0.0,30.0,110.0,250.0,1334.0
depth,1981.0,4936.0,161.61929521015296,147.04599232501323,-0.9,41.287499999999994,124.0,246.1,1221.0
depth,1982.0,5123.0,173.57233153310784,160.5616671795209,-29.95,45.0,125.0,270.85,2400.0
depth,1983.0,3474.0,180.28047934771683,168.27825796409823,-29.95,44.0,133.1,274.2,1338.3
depth,1984.0,6363.0,207.34308003050236,172.9663561011275,-7.7,65.0,171.9,312.4,1470.0
depth,1985.0,4626.0,182.3323295400697,177.15513517409215,0.0,40.0,127.4,282.875,2350.0
depth,1986.0,4984.0,169.8277515579819,177.77229548853373,-1.0,34.975,120.0,265.8975,4209.0
depth,1987.0,6757.0,148.27457467255695,155.89747915338086,-31.2,25.74,99.25,225.51,1340.6
depth,1988.0,5781.0,190.26344424406165,174.61879873659598,0.0,50.0,143.8,288.55,1513.0
depth,1989.0,4885.0,171.50315236386496,187.25251473942177,-31.05,33.2,112.1,260.35,4680.0
depth,1990.0,6876.0,156.0653502723583,177.2284087356111,0.0,39.6,112.0,226.32500000000002,7250.0
depth,1991.0,6096.0,176.30218687572906,185.00705090146124,0.0,43.275,121.9,280.0,6065.0
depth,1992.0,5492.0,136.23211960109361,160.41490038523912,-44.08,18.0,80.0,200.0,1910.0
depth,1993.0,6658.0,176.56589816239133,173.4347315571822,-46.39,49.6,125.15,265.0,4667.0
depth,1994.0,7835.0,165.10239893310438,169.31037668267277,-17.3,37.7,110.8,250.0,2550.0
depth,1995.0,7235.0,160.2779497720432,170.04879728000375,-41.77,35.0,104.8,240.4575,2600.0
depth,1996.0,6078.0,160.65732792350238,173.62621112346687,-34.84,33.0,94.19714285714286,245.0,1650.0
depth,1997.0,6863.0,194.13585666720076,176.27688961276039,0.0,63.0,144.01,299.6,3022.0
depth,1998.0,7335.0,201.13083700087267,177.22759462885668,-36.575,73.45,155.0,292.5,5354.0
depth,1999.0,7355.0,192.8646874554519,178.4632966613943,-42.2,62.0,142.0,280.0,1962.85
depth,2000.0,6030.0,203.5706678477502,202.64671123727004,-21.29,65.0,150.05,301.0,5505.0
depth,2001.0,6619.0,206.0314444593781,199.30343217325157,-1.2,60.0,149.6,302.0,2875.0
depth,2002.0,5552.0,214.636499262385,390.31611098809856,0.0,80.0,163.22,309.63250000000005,26018.0
depth,2003.0,6392.0,214.76234648669836,218.54564585525713,0.0,82.0,168.1,314.2625,7300.0
depth,2004.0,6770.0,208.7135740808305,179.59519627902944,-97.9,70.9,166.825,308.0,2168.0
depth,2005.0,6807.0,212.44208119837495,172.11365552221122,-43.89,79.3,180.0,304.15,2030.0
depth,2006.0,6321.0,216.17716073529385,290.00956053333095,-27.9,61.0,159.4,318.5,15667.0
depth,2007.0,6401.0,210.26630923583963,183.79958728541254,-23.3,72.0,162.0,310.0,2063.0
depth,2008.0,4994.0,181.72051432273616,175.94301022428917,0.0,45.0,133.0,275.595,1935.0
depth,2009.0,4073.0,204.73856696622659,174.5352497063487,0.0,69.9,157.8,305.76,1961.0766666666666
depth,2010.0,3290.0,207.98214269588902,178.52192978764887,0.0,75.0,167.115,304.07500000000005,2466.0
depth,2011.0,2861.0,213.6174714366375,186.95749641919932,0.0,75.0,178.7,311.8,3398.0
depth,2012.0,2985.0,210.43480156454382,187.50894084377444,0.0,74.1,170.54500000000002,301.0,3154.0
depth,2013.0,3569.0,221.19664919519013,192.98518663953124,0.0,85.2,176.59,316.1,3815.0
depth,2014.0,3664.0,220.72457603748447,177.03952204425448,0.0,83.62,193.26,319.6825,2843.5
depth,2015.0,3682.0,212.18647247481746,181.0069591237949,0.0,81.3,172.135,303.0,2680.0
depth,2016.0,3967.0,222.9611939075169,171.07095300643672,0.0,85.35,192.0,324.57233333333335,1960.1666666666667
depth,2017.0,3790.0,213.7535015865184,172.59806387032026,-1.81,79.75,178.20499999999998,314.3,1959.95
depth,2018.0,4775.0,232.28112739733962,178.18455519481824,-1.43,93.1,199.1,330.185,2194.0
depth,2019.0,4476.0,224.15010481314948,176.3195570681817,-1.8,83.83000000000001,191.67142857142858,323.8,1959.75
depth,2020.0,4173.0,214.15280657673398,174.01687074113636,0.0,72.3,178.4,320.7,1959.6
depth,2021.0,3678.0,225.44295345780887,181.9784046408915,-3.5,80.0,188.05,335.0,1959.3
depth,2022.0,3187.0,236.1848623815086,199.7961250469124,0.0,82.0,191.5,352.15,2574.0
